Magazyn;Indeks;Jednostka miary;Stan;Stan minimalny;Wartoœæ;Nazwa;EAN-13;Symbol SWW PKWiU;Jednostka miary;
1;1048;szt;0;0;0;Amst. Profil Prelude pop.1,2m;;28.11.10;szt;"insert into stany_mag (1,1048,'szt',0,0,0,'Amst. Profil Prelude pop.1,2m','szt');"
1;1049;;0;0;0;Amst. Profil przyœcienny trulok 3,0 m;;28.11.10;;"insert into stany_mag (1,1049,'',0,0,0,'Amst. Profil przyœcienny trulok 3,0 m','');"
1;105;szt.;86;0;508,76;UW  50/4 M  Profil Œcienny;;28.11.23 - 63.19;szt.;"insert into stany_mag (1,105,'szt.',86,0,508,76,'UW  50/4 M  Profil Œcienny','szt.');"
1;1050;m2;0;0;0;Amst. Sufit Savanna Board 7,2 m;;26.65.11-00;m2;"insert into stany_mag (1,1050,'m2',0,0,0,'Amst. Sufit Savanna Board 7,2 m','m2');"
1;1051;szt;0;0;0;Amst. Wieszak Thermatex;;;szt;"insert into stany_mag (1,1051,'szt',0,0,0,'Amst. Wieszak Thermatex','szt');"
1;1052;100 szt;2,43;0;79,01;Wieszak obrotowy;;;100 szt;"insert into stany_mag (1,1052,'100 szt',2,43,0,79,01,'Wieszak obrotowy','100 szt');"
1;1053;szt;0;0;0;Rymid M³otek 200g œlusiarski;;;szt;"insert into stany_mag (1,1053,'szt',0,0,0,'Rymid M³otek 200g œlusiarski','szt');"
1;1054;szt;0;0;0;Rymid M³otek 300g œlusarski;;;szt;"insert into stany_mag (1,1054,'szt',0,0,0,'Rymid M³otek 300g œlusarski','szt');"
1;1055;szt;0;0;0;Rymid M³otek 500g œlusarski;;;szt;"insert into stany_mag (1,1055,'szt',0,0,0,'Rymid M³otek 500g œlusarski','szt');"
1;1056;szt;0;0;0;Rymid M³otek 800g œlusarski;;;szt;"insert into stany_mag (1,1056,'szt',0,0,0,'Rymid M³otek 800g œlusarski','szt');"
1;1057;szt;0;0;0;Rymid M³otek 1000g œlusarski;;;szt;"insert into stany_mag (1,1057,'szt',0,0,0,'Rymid M³otek 1000g œlusarski','szt');"
1;1058;szt;0;0;0;Rymid M³otek 1500g œlusarski;;;szt;"insert into stany_mag (1,1058,'szt',0,0,0,'Rymid M³otek 1500g œlusarski','szt');"
1;1059;szt;0;0;0;Rymid M³otek ciesielsko-dekarski;;;szt;"insert into stany_mag (1,1059,'szt',0,0,0,'Rymid M³otek ciesielsko-dekarski','szt');"
1;106;szt.;94;0;479,5;CW  50/2,6  M  Profil Œcienny;;28.11.23 - 63.19;szt.;"insert into stany_mag (1,106,'szt.',94,0,479,5,'CW  50/2,6  M  Profil Œcienny','szt.');"
1;1060;szt;0;0;0;Rymid M³otek murarski-berliñski;;;szt;"insert into stany_mag (1,1060,'szt',0,0,0,'Rymid M³otek murarski-berliñski','szt');"
1;1061;szt;0;0;0;Rymid no¿yce do blachy;;;szt;"insert into stany_mag (1,1061,'szt',0,0,0,'Rymid no¿yce do blachy','szt');"
1;1062;kpl;0;0;0;Rymid No¿yk do tapet 18 mm metalowy+ostrza;;;kpl;"insert into stany_mag (1,1062,'kpl',0,0,0,'Rymid No¿yk do tapet 18 mm metalowy+ostrza','kpl');"
1;1063;szt;0;0;0;Rymid No¿yk do tapet 18mm wzmocn. z zasobn.;;;szt;"insert into stany_mag (1,1063,'szt',0,0,0,'Rymid No¿yk do tapet 18mm wzmocn. z zasobn.','szt');"
1;1064;szt;0;0;0;Rymid Wiert³o do kamienia 8x200mm;;;szt;"insert into stany_mag (1,1064,'szt',0,0,0,'Rymid Wiert³o do kamienia 8x200mm','szt');"
1;1065;szt;0;0;0;Rymid Wiert³o do kamienia 10x200mm;;;szt;"insert into stany_mag (1,1065,'szt',0,0,0,'Rymid Wiert³o do kamienia 10x200mm','szt');"
1;1066;szt;0;0;0;Rymid Miara s³adana drewniana 2m;;;szt;"insert into stany_mag (1,1066,'szt',0,0,0,'Rymid Miara s³adana drewniana 2m','szt');"
1;1067;kpl;0;0;0;Rymid Ostrza trapezowe 5szt;;;kpl;"insert into stany_mag (1,1067,'kpl',0,0,0,'Rymid Ostrza trapezowe 5szt','kpl');"
1;1068;szt;0;0;0;Rymid Kielnia sztuk kwasoodp. 60mm;;;szt;"insert into stany_mag (1,1068,'szt',0,0,0,'Rymid Kielnia sztuk kwasoodp. 60mm','szt');"
1;1069;szt;0;0;0;Rymid Miara zwijana magnetyczna 2m;;;szt;"insert into stany_mag (1,1069,'szt',0,0,0,'Rymid Miara zwijana magnetyczna 2m','szt');"
1;107;szt.;0;0;0;Fugenfuller 4,5 KG Masa do Spoin;;26.64.10;szt.;"insert into stany_mag (1,107,'szt.',0,0,0,'Fugenfuller 4,5 KG Masa do Spoin','szt.');"
1;1070;szt;0;0;0;Rymid Miara zwijana magnetyczna 3m;;;szt;"insert into stany_mag (1,1070,'szt',0,0,0,'Rymid Miara zwijana magnetyczna 3m','szt');"
1;1071;szt;0;0;0;Rymid Miara zwijana magnetyczna 5m;;;szt;"insert into stany_mag (1,1071,'szt',0,0,0,'Rymid Miara zwijana magnetyczna 5m','szt');"
1;1072;szt;0;0;0;Rymid Miara zwijana magnetyczna 7m;;;szt;"insert into stany_mag (1,1072,'szt',0,0,0,'Rymid Miara zwijana magnetyczna 7m','szt');"
1;1073;szt;0;0;0;Rymid Miara zwijana magnetyczna 10m;;;szt;"insert into stany_mag (1,1073,'szt',0,0,0,'Rymid Miara zwijana magnetyczna 10m','szt');"
1;1074;kg;0;0;0;Bravo Tynk Silikonowy 2,0mm Bia³y;;26.64.10-00.15;kg;"insert into stany_mag (1,1074,'kg',0,0,0,'Bravo Tynk Silikonowy 2,0mm Bia³y','kg');"
1;1075;100 szt;4,52;0;22,83;Haki rozp. sufit 6;;;100 szt;"insert into stany_mag (1,1075,'100 szt',4,52,0,22,83,'Haki rozp. sufit 6','100 szt');"
1;1076;100 szt;1,29;0;84,17;Prêt mocuj¹cy 1500 mm;;;100 szt;"insert into stany_mag (1,1076,'100 szt',1,29,0,84,17,'Prêt mocuj¹cy 1500 mm','100 szt');"
1;1077;szt;0;0;0;Krasiccy Pustak PDWD 540/400/328;;;szt;"insert into stany_mag (1,1077,'szt',0,0,0,'Krasiccy Pustak PDWD 540/400/328','szt');"
1;1078;szt;0;0;0;Krasiccy Pustak PDD 400/400/328;;;szt;"insert into stany_mag (1,1078,'szt',0,0,0,'Krasiccy Pustak PDD 400/400/328','szt');"
1;1079;szt;0;0;0;Rymid Poziomica 600 mm Jobi;;;szt;"insert into stany_mag (1,1079,'szt',0,0,0,'Rymid Poziomica 600 mm Jobi','szt');"
1;108;kg;0;0;0;Bumakryl grysowy 530 MG2.0L;;26.64.10 - 00.90;kg;"insert into stany_mag (1,108,'kg',0,0,0,'Bumakryl grysowy 530 MG2.0L','kg');"
1;1080;szt;0;0;0;Rymid Poziomica 800 mm Jobi;;;szt;"insert into stany_mag (1,1080,'szt',0,0,0,'Rymid Poziomica 800 mm Jobi','szt');"
1;1081;szt;0;0;0;Rymid Poziomica 1000 mm Jobi;;;szt;"insert into stany_mag (1,1081,'szt',0,0,0,'Rymid Poziomica 1000 mm Jobi','szt');"
1;1082;szt;0;0;0;Rymid Kombinerki 160 mm Jobi;;;szt;"insert into stany_mag (1,1082,'szt',0,0,0,'Rymid Kombinerki 160 mm Jobi','szt');"
1;1083;szt;0;0;0;Rymid Kombinerki 200 mm Jobi;;;szt;"insert into stany_mag (1,1083,'szt',0,0,0,'Rymid Kombinerki 200 mm Jobi','szt');"
1;1084;szt;0;0;0;Rymid Pistolet do mat. uszczel. Jobi;;;szt;"insert into stany_mag (1,1084,'szt',0,0,0,'Rymid Pistolet do mat. uszczel. Jobi','szt');"
1;1085;szt;0;0;0;Rymid Pi³a do P³yt gip.-kar. Stanlej 550 mm;;;szt;"insert into stany_mag (1,1085,'szt',0,0,0,'Rymid Pi³a do P³yt gip.-kar. Stanlej 550 mm','szt');"
1;1086;kpl;0;0;0;Rymid Bity PH-2 Stanlej 10szt;;;kpl;"insert into stany_mag (1,1086,'kpl',0,0,0,'Rymid Bity PH-2 Stanlej 10szt','kpl');"
1;1087;kpl;0;0;0;Rymid Ostrza do no¿yków 18 mm;;;kpl;"insert into stany_mag (1,1087,'kpl',0,0,0,'Rymid Ostrza do no¿yków 18 mm','kpl');"
1;1088;szt;0;0;0;Rymid Wiert³o do kamienia SDS 8x160 mm;;;szt;"insert into stany_mag (1,1088,'szt',0,0,0,'Rymid Wiert³o do kamienia SDS 8x160 mm','szt');"
1;1089;szt;0;0;0;Rymid Wiert³o do kamienia SDS 6x210 mm;;;szt;"insert into stany_mag (1,1089,'szt',0,0,0,'Rymid Wiert³o do kamienia SDS 6x210 mm','szt');"
1;109;kg;0;0;0;TYNK  PERMURO  S.P.2MM  F1151/D;;2430.22-60.31;kg;"insert into stany_mag (1,109,'kg',0,0,0,'TYNK  PERMURO  S.P.2MM  F1151/D','kg');"
1;1090;szt;0;0;0;Rymid Wier³o do kamienia SDS 8x260 mm;;;szt;"insert into stany_mag (1,1090,'szt',0,0,0,'Rymid Wier³o do kamienia SDS 8x260 mm','szt');"
1;1091;szt;0;0;0;Rymid Wier³o do kamienia SDS 10x210 mm;;;szt;"insert into stany_mag (1,1091,'szt',0,0,0,'Rymid Wier³o do kamienia SDS 10x210 mm','szt');"
1;1092;szt;0;0;0;Rymid Wiert³o do kamienia SDS 10x260 mm;;;szt;"insert into stany_mag (1,1092,'szt',0,0,0,'Rymid Wiert³o do kamienia SDS 10x260 mm','szt');"
1;1093;szt;0;0;0;Rymid Wier³o do kamienia SDS 12x160 mm;;;szt;"insert into stany_mag (1,1093,'szt',0,0,0,'Rymid Wier³o do kamienia SDS 12x160 mm','szt');"
1;1094;szt;0;0;0;Rymid Wiert³o do kamienia SDS 12x260 mm;;;szt;"insert into stany_mag (1,1094,'szt',0,0,0,'Rymid Wiert³o do kamienia SDS 12x260 mm','szt');"
1;1095;szt;0;0;0;Rymid Wiert³o do kamienia SDS 12x400 mm;;;szt;"insert into stany_mag (1,1095,'szt',0,0,0,'Rymid Wiert³o do kamienia SDS 12x400 mm','szt');"
1;1096;szt;0;0;0;Rymid Mieszad³o oc. 80 mm;;;szt;"insert into stany_mag (1,1096,'szt',0,0,0,'Rymid Mieszad³o oc. 80 mm','szt');"
1;1097;szt;0;0;0;Rymid Mieszad³o oc. 100 mm;;;szt;"insert into stany_mag (1,1097,'szt',0,0,0,'Rymid Mieszad³o oc. 100 mm','szt');"
1;1098;szt;0;0;0;Rymid Mieszad³o oc. 120 mm;;;szt;"insert into stany_mag (1,1098,'szt',0,0,0,'Rymid Mieszad³o oc. 120 mm','szt');"
1;1099;szt;0;0;0;Rymid Kielnia kwas. 80 mm;;;szt;"insert into stany_mag (1,1099,'szt',0,0,0,'Rymid Kielnia kwas. 80 mm','szt');"
1;11;szt.;0;1000;0;£¹cznik do termoizolacji 140;;25.23.15 - 90.10;szt.;"insert into stany_mag (1,11,'szt.',0,1000,0,'£¹cznik do termoizolacji 140','szt.');"
1;110;kg;0;0;0;1025  TYNK  MARMURIT  1025  25KG;;24.30.22-60.39;kg;"insert into stany_mag (1,110,'kg',0,0,0,'1025  TYNK  MARMURIT  1025  25KG','kg');"
1;1100;szt;0;0;0;Rymid Kielnia kwas. 100 mm;;;szt;"insert into stany_mag (1,1100,'szt',0,0,0,'Rymid Kielnia kwas. 100 mm','szt');"
1;1101;szt;0;0;0;Rymid Pistolet do materia³ów uszcz.;;;szt;"insert into stany_mag (1,1101,'szt',0,0,0,'Rymid Pistolet do materia³ów uszcz.','szt');"
1;1102;szt;0;0;0;Rymid Wkrêtak Krzy¿. PH-2 * 100 mm;;;szt;"insert into stany_mag (1,1102,'szt',0,0,0,'Rymid Wkrêtak Krzy¿. PH-2 * 100 mm','szt');"
1;1103;szt;0;0;0;"Rymid Uchwyt do grotów 1/4"" 60 mm";;;szt;"insert into stany_mag (1,1103,'szt',0,0,0,'Rymid Uchwyt do grotów 1/4"" 60 mm','szt');"
1;1104;szt;0;0;0;"Rymid No¿yce do blachy 10""";;;szt;"insert into stany_mag (1,1104,'szt',0,0,0,'Rymid No¿yce do blachy 10""','szt');"
1;1105;szt;0;0;0;"Rymid No¿yce do blachy 9""";;;szt;"insert into stany_mag (1,1105,'szt',0,0,0,'Rymid No¿yce do blachy 9""','szt');"
1;1106;szt;0;0;0;Rymid No¿yce do blachy Wygiête;;;szt;"insert into stany_mag (1,1106,'szt',0,0,0,'Rymid No¿yce do blachy Wygiête','szt');"
1;1107;kpl;0;0;0;Rymid Bity PH-2 TORISON 25 szt;;;kpl;"insert into stany_mag (1,1107,'kpl',0,0,0,'Rymid Bity PH-2 TORISON 25 szt','kpl');"
1;1108;szt;4;0;4,4;Szczotka druciana 3 rzêdowa;;;szt;"insert into stany_mag (1,1108,'szt',4,0,4,4,'Szczotka druciana 3 rzêdowa','szt');"
1;1109;szt;0;0;0;Rymid No¿yce do blachy 250 mm MAXSTEL;;;szt;"insert into stany_mag (1,1109,'szt',0,0,0,'Rymid No¿yce do blachy 250 mm MAXSTEL','szt');"
1;111;L;0;0;0;KOLGOT  GRUNT  DO  TYNK  AKR. GOTOWY  KOLOR;;;L;"insert into stany_mag (1,111,'L',0,0,0,'KOLGOT  GRUNT  DO  TYNK  AKR. GOTOWY  KOLOR','L');"
1;1110;szt;4;0;68,8;Pêdzel £awkowiec 180mm;;;szt;"insert into stany_mag (1,1110,'szt',4,0,68,8,'Pêdzel £awkowiec 180mm','szt');"
1;1111;kg;3,6;0;12,56;Gwozdzie budowlane 70;;;kg;"insert into stany_mag (1,1111,'kg',3,6,0,12,56,'Gwozdzie budowlane 70','kg');"
1;1112;opk.;3;0;16,41;Wkret samow.3,5x25/200szt;;;opk.;"insert into stany_mag (1,1112,'opk.',3,0,16,41,'Wkret samow.3,5x25/200szt','opk.');"
1;1113;szt;10;0;71,5;Taœma reparacyjna 145x20;;;szt;"insert into stany_mag (1,1113,'szt',10,0,71,5,'Taœma reparacyjna 145x20','szt');"
1;1114;szt;0;0;0;Dachówka Trójnik konc. nr.11;;;szt;"insert into stany_mag (1,1114,'szt',0,0,0,'Dachówka Trójnik konc. nr.11','szt');"
1;1115;szt;0;0;0;Wyprawa kwarcowa-14 kg;;24.30.11-50.00;szt;"insert into stany_mag (1,1115,'szt',0,0,0,'Wyprawa kwarcowa-14 kg','szt');"
1;1116;szt;0;0;0;Rymid Mlotek gumowy 65mm;;;szt;"insert into stany_mag (1,1116,'szt',0,0,0,'Rymid Mlotek gumowy 65mm','szt');"
1;1117;szt;0;0;0;Rymid M³otek gumowy 90 mm;;;szt;"insert into stany_mag (1,1117,'szt',0,0,0,'Rymid M³otek gumowy 90 mm','szt');"
1;1118;szt;0;0;0;Rymid Szpachla do sztablatury 250 mm;;;szt;"insert into stany_mag (1,1118,'szt',0,0,0,'Rymid Szpachla do sztablatury 250 mm','szt');"
1;1119;szt;0;0;0;Rymid Szpachla do sztablatury 350 mm;;;szt;"insert into stany_mag (1,1119,'szt',0,0,0,'Rymid Szpachla do sztablatury 350 mm','szt');"
1;112;kg;0;0;0;1025/B  MARMURIT  1025/B;;24.30.22-60.39;kg;"insert into stany_mag (1,112,'kg',0,0,0,'1025/B  MARMURIT  1025/B','kg');"
1;1120;szt;0;0;0;Rymid Szpachla do sztablatury 450;;;szt;"insert into stany_mag (1,1120,'szt',0,0,0,'Rymid Szpachla do sztablatury 450','szt');"
1;1121;szt;0;0;0;Rymid Szpachla do sztablatury 600 mm;;;szt;"insert into stany_mag (1,1121,'szt',0,0,0,'Rymid Szpachla do sztablatury 600 mm','szt');"
1;1122;szt;0;0;0;Rymid £ata trapezowa tynk.150cm;;;szt;"insert into stany_mag (1,1122,'szt',0,0,0,'Rymid £ata trapezowa tynk.150cm','szt');"
1;1123;szt;0;0;0;Rymid Mieszad³o SDS 120 mm;;;szt;"insert into stany_mag (1,1123,'szt',0,0,0,'Rymid Mieszad³o SDS 120 mm','szt');"
1;1124;szt;0;0;0;Rymid No¿yk do tapet 25mm;;;szt;"insert into stany_mag (1,1124,'szt',0,0,0,'Rymid No¿yk do tapet 25mm','szt');"
1;1125;szt;0;0;0;Rymid Ostrza wymienne 25 mm;;;szt;"insert into stany_mag (1,1125,'szt',0,0,0,'Rymid Ostrza wymienne 25 mm','szt');"
1;1126;szt;0;0;0;Rymid £ata mur.d³200mm;;;szt;"insert into stany_mag (1,1126,'szt',0,0,0,'Rymid £ata mur.d³200mm','szt');"
1;1127;szt;0;0;0;Rymid £ata mur.d³250mm;;;szt;"insert into stany_mag (1,1127,'szt',0,0,0,'Rymid £ata mur.d³250mm','szt');"
1;1128;szt;0;0;0;Rymid £ata mur. d³.300;;;szt;"insert into stany_mag (1,1128,'szt',0,0,0,'Rymid £ata mur. d³.300','szt');"
1;1129;szt;0;0;0;Rymid £ata trapezowa 200mm;;;szt;"insert into stany_mag (1,1129,'szt',0,0,0,'Rymid £ata trapezowa 200mm','szt');"
1;113;szt.;0;0;0;Uszczelka pod g¹sior;;25.23.15-90.90;szt.;"insert into stany_mag (1,113,'szt.',0,0,0,'Uszczelka pod g¹sior','szt.');"
1;1130;100 szt;2,49;0;15,65;Ko³ek SM8x45;;;100 szt;"insert into stany_mag (1,1130,'100 szt',2,49,0,15,65,'Ko³ek SM8x45','100 szt');"
1;1131;szt;490;0;460,3;P³ótno œcierne -arkusz;;;szt;"insert into stany_mag (1,1131,'szt',490,0,460,3,'P³ótno œcierne -arkusz','szt');"
1;1132;szt;0;0;0;Gamrat Truik 110/110;;;szt;"insert into stany_mag (1,1132,'szt',0,0,0,'Gamrat Truik 110/110','szt');"
1;1133;100 szt;0,13;0;2,09;Prêt 250 mm;;;100 szt;"insert into stany_mag (1,1133,'100 szt',0,13,0,2,09,'Prêt 250 mm','100 szt');"
1;1134;kg;0,68;0;2,29;Gwozdzie 180;;;kg;"insert into stany_mag (1,1134,'kg',0,68,0,2,29,'Gwozdzie 180','kg');"
