"","Nazwa","Cena.sprzeda¿y","Jednostka.miary","Koszt.jednostkowy.sprzeda¿y"
"155","O³ówek murarski 300 mm","4","szt","2,62"
"156","Klej do glazury iterak. mrozo. 25 kg","13","szt","8,9"
"157","Grunt Royal 5L","20","szt","12,14"
"158","MP75 Lekki 30 kg","17","szt","13,83"
"159","Farba Œnie¿ka Ultra 10 l","32","szt","27,09"
"160","Naro¿nik st. do Mokr. Tynk 234/2,5 Odwrotne Obci¹¿enie","2","szt","1,07"
"161","O³ówek ciesielski 300 mm","4","szt","2,76"
"162","G³adz Szpachlowa FR extra 20 kg","24","szt","19,89"
"163","Tarcza diament.turbo Premium 115mm","14","szt","11"
"164","Silikon sanitarny kolor","17","szt","14,86"
"165","AT.Fuga be¿owa 5 kg/020/ folia","24","szt","20,04"
"166","Kr.W zamyk. skoœ. z siatk¹ œr.100 BI  46","9","szt","7,23"
"167","Rozp. Ekstrakcyjny 0,5l","4,2","szt","2,99"
"168","Teg. Szpachla nierdz. fasadowa 480mm/PERFECT","25","szt","19,6"
"169","Wyciskacz do mas silik. profi","15","szt","11,77"
"170","KM Zapas 18 Elitakolor","5","szt","3,65"
"171","Teg. Ostrze ³amane 18mm/PERFEKT","3,5","kpl","2,47"
"172","Taœma mal. ¿ó³ta 30mm/50m","3","szt","1,76"
"173","Rekawice Dragon","4","para","2,26"
"174","Tarcza metal p³aska 230x2","5","szt","3,2"
"175","Okulary przeciwodpryskowe","5,5","szt","4,05"
"176","Ko³ek SM-8x80","22","100 szt","11,05"
"177","Gwo¿dzie budowlane 3,5x90","4,5","kg","3,49"
"178","Folia Typ 200","0,6","m2","0,36"
"179","Tarcza do metalu 125x10","3","szt","1,64"
"180","Rozpuszczalnik uniwersalny 0,5 l","3,65","szt","2,09"
"181","Papa V80 S42 wierzchniego krycia","8,67","m2","5,86"
"182","Zaprawa tynkarska 25 kg","7,32","szt","4,92"
"183","Zaprawa posadzkowa 25 kg","8,13","szt","4,9"
"184","Klej do glazury iterak. mrozo. 25 kg","16,26","szt","8,9"
"185","Grunt 5l","16,26","szt","5,01"
"186","W6/2,5 m listwa tykarska","2,44","szt","0,88"
"187","Cement  II B-V 32,5 R","9,35","szt","7,37"
"188","Gips budowlany 2 kg","2,35","szt","1,58"
"189","Gips szpachlowy 2 kg","3,15","szt","2,69"
"190","MP75 Lekki 30 kg","17","szt","13,81"
"191","Atlas Gipsar 5 kg","9,4","szt","7,87"
"192","Atlas Gipsar 10 kg","15,5","szt","12,85"
"193","Atlas Gipsar uni 20 kg","22","szt","18,71"
"194","Rotbant 10kg","17,7","szt","14,8"
"195","Goldbant 10 kg","15,8","szt","13,66"
"196","Cement  II B-V 32,5 R","9","szt","7,37"
"197","Gips budowlany 2 kg","2","szt","1,53"
"198","Gwo¿dzie budowlane 3x80","4,5","kg","3,5"
"199","ko³ek SMK 6x40 K","10","100 szt","4,35"
"200","Cement  II B-V 32,5 R","8,9","szt","7,37"
"201","MP75 Lekki 30 kg","17","szt","13,81"
"202","MP75 Lekki 30 kg","19,51","szt","13,81"
"203","Atlas Sam 100 25 kg","31,71","szt","24,21"
"204","Farba Œnie¿ka Eko wew. 5l","34,15","szt","25,52"
"205","KM Wa³ek 18 Elitakolor","8,94","szt","6,36"
"206","Sewera Kratka mal.26x24cm","2,44","szt","0,84"
"207","Atlas Gipsar uni 20 kg","23,58","szt","18,71"
"208","Taœma mal.Strong 38mm x 50m ¿ó³ta","4,07","szt","2,2"
"209","Pêdzel tapetowy 140","10,5","szt","5,78"
"210","Grunt 5l","16,2","szt","5,01"
"211","Pêdzel angielski olej 40","6,1","szt","4,08"
"212","Cement  II B-V 32,5 R","8,5","szt","7,37"
"213","Drzwi Oœcie¿nica DRE 12-14","198,88","szt","180,8"
"214","Drzwi Skrzyd³o Bulaj TOP 10","540,32","szt","491,2"
"215","Blacha ocynkowana Odwrotne Obci¹¿enie","41","szt","27,31"
"216","Ko³ek SMK 6x60 K","16,2","100 szt","5,9"
"217","Styropian Dach/pod³oga","145","m3","119,63"
"218","Cement  II B-V 32,5 R","8,9","szt","7,37"
"219","MP75 Lekki 30 kg","17","szt","13,81"
"220","Gips budowlany 2 kg","2","szt","1,46"
"221","Rozpuszczalnik uniwersalny 0,5 l","2,4","szt","2,05"
"222","Siatka z w³ókna szklanego","1,45","m2","1,22"
"223","Atlas zaprawa gruntuj¹ca 5kg","24","szt","22,09"
"224","Folia Typ 200","0,5","m2","0,36"
"225","Sznurek rolniczy","7,5","Rolka","6,38"
"226","Paca plasikowa g³adka","3","szt","2,29"
"227","Paca plastikowa 130x270 z g¹bk¹ gêst¹","4,5","szt","3,5"
"228","Paca styropianowa 18x32 cm","3,5","szt","2,84"
"229","Paca ze stali nierdzewnej g³adka","7","szt","4,79"
"230","Teg. Poziomica PERFECT/100cm","34","szt","29,7"
"231","ko³ek SMK 6x40 K","6","100 szt","4,36"
"232","O³ówek murarski 300 mm","3","szt","2,62"
"233","O³ówek ciesielski 300 mm","3","szt","2,76"
"234","Pianka pistoletowa zimowa","13","szt","11"
"235","Akryl","4,5","szt","3,87"
"236","Teg. Szpachla mal.nier./80mm/STALCO","6","szt","4,72"
"237","Teg. Poziomica PERFECT/150cm","50","szt","44,24"
"238","Mieszad³o 80mm do kleju C1","7,5","szt","6,37"
"239","Silikon uniwersalny 310ml","7,7","szt","6,77"
"240","Klej do styropianu 25 kg","10","szt","8,8"
"241","klej do siatki Platinum 25 kg","15","szt","13,5"
"242","KM Kuweta malarska 12x19","1","szt","0,47"
"243","KM Pêdzel kaloryf. 75 master 3""","10","szt","8,51"
"244","KM Pêdzel p³aski 70","8,5","szt","6,82"
"245","KM Wa³ek 25 Elitakolor","9","szt","7,78"
"246","Farba œnie¿ka 1l bia³a emul.","6,3","szt","5,63"
"247","Farba Œnie¿ka Eko wew. 10l","55","szt","46,07"
"248","Folia malarska EX gruba4x5","2,2","szt","1,98"
"249","Fugownica 200mm","1,8","szt","1,4"
"250","Kastra okr¹g³a 90l","20","szt","17"
"251","Pistolet Profesjonalny","35","szt","31,27"
"252","P³ótno XL gr.120 (arkusz)","1,3","szt","0,92"
"253","Œnie¿ka  na zacieki 1l","27","szt","21,57"
"254","Siatka cieto-ci¹gniona z blachy","4,47","m2","3,2"
"255","MP75 Lekki 30 kg","17","szt","13,81"
"256","Atlas Gipsar 5 kg","9,4","szt","7,87"
"257","Zaprawa murarska 25 kg","6,5","szt","4,79"
"258","Goldbant 10 kg","15,8","szt","13,2"
"259","Rotbant 10kg","17,8","szt","14,8"
"260","Zaprawa murarska 25 kg","6,5","szt","4,79"
"261","Naro¿nik al z siatk¹  14,3 -2,5 m","2,4","szt.","1,33"
"262","Rekawice Dragon","4","para","2,51"
"263","Tarcza metal p³aska 230x2","4,2","szt","3,2"
"264","Tarcza do metalu 125x10","3","szt","1,64"
"265","Dyka Rura kan. PP 50  1000mm","4,6","szt","3,06"
"266","Dyka Rura kan. PP 50  2000mm","7","szt","5,53"
"267","Dyka Rura kan. PP 50  500 mm","2,5","szt","1,83"
"268","Dyka Trójnik PP 50x50/45","3,1","szt","2,02"
"269","Dyka Kolano PP 50/45","2,2","szt","1,24"
"270","Dyka Kolano PP 50/15","2","szt","1,21"
"271","Dyka Kolano PP 50/87","2,2","szt","1,47"
"272","Dyka Kolano PP 50/67","2,2","szt","1,48"
"273","Dyka Kolano PP 50/30","2","szt","1,12"
"274","Cement  II B-V 32,5 R","8,8","szt","7,37"
"275","Styropian Dach/pod³oga","140","m3","119,63"
"276","Klej do styropianu 25 kg","11,8","szt","8,8"
"277","Grunt 5l","10","szt","5,01"
"278","Siatka z w³ókna szklanego","1,6","m2","1,22"
"279","Dyka Kolano PP 50/87","2,2","szt","1,47"
"280","Tarcza diament. pe³na 125 mm","8,5","szt","6,61"
"281","£¹cznik ti 10x160","18","100 szt","11,99"
"282","£¹cznik do okien 10x112","45","100 szt","31,25"
"283","Klej do siatki 25 kg","14","szt","10,8"
"284","MP75 Lekki 30 kg","16","szt","13,81"
"285","Tarcza do metalu 125x2,5","2","szt","1,19"
"286","Styropian Fasada","115","m3","103,43"
"287","Nida tynk cem-wap lekki wew. 30 kg","13,7","szt","11,37"
"288","Pret gwin. ocyn. M8x1000","2","szt","1,53"
"289","Pianka Pistoletowa niskoprê¿na 750 ml","14","szt","10,3"
"290","Naro¿nik aluminiowy z siatka 3,0 m x 14,3 cm","3","szt","1,6"
"291","Rêkawicze ogrodnicze-wampirki","1","para","0,68"
"292","Pianka Mini 300 ml","10","szt","7,73"
"293","Zaprawa posadzkowa 25 kg","8","szt","4,9"
"294","MP75 Lekki 30 kg","19","szt","13,81"
"295","Klej do glazury iterak. mrozo. 25 kg","16","szt","8,9"
"296","Gips szpachlowy 15 kg","15","szt","12,69"
"297","Pianka Pistoletowa niskoprê¿na 750 ml","16","szt","10,3"
"298","O³ówek ciesielski /176mm/","2,8","szt","1,81"
"299","Plastyfikator do zapraw","1","szt","0,49"
"300","Zaprawa tynkarska 25 kg","7","szt","4,92"
"301","Grunt 5l","15","szt","5,01"
"302","P³yta Spano 18mm 2500x1250","55,28","szt","44,73"
"303","Wkrêt do gipsu 35x45 C","13,01","kg","7,23"
"304","Pianka Pistoletowa niskoprê¿na 750 ml","15,45","szt","10,3"
"305","Collage Czyœcik uniwersalny 500 ml","16,26","szt","12,58"
"306","Rekawice Dragon","4,07","para","2,51"
"307","Kontr³ata impregnowana","1,42","szt","1"
"308","P³yta Spano 22mm 2500x1250","68,29","szt","54,66"
"309","Collage Œrodek grzybobójczy 1l","18,52","szt","6,54"
"310","Krzy¿yki dynstansowe","1,6","opk.","0,75"
"311","Kliny maxi","1,9","kpl","0,81"
"312","Naro¿nik Aluminiowy Perf . 25x25x2,5","2,4","szt.","0,84"
"313","Pó³naro¿nik AL 23x13x0,40 d³2,5m","2,85","szt","0,97"
"314","P³ótno œcierne -arkusz","2","szt","0,92"
"315","Goldbant 30 kg","34,95","szt","25,47"
"316","Taœma mal.STRONG UV 38mm/50mm","11,8","szt","8,21"
"317","Folia malarska EX gruba4x5","5","szt","1,98"
"318","Taœma mal.Strong 48mm x 50m ¿ó³ta","5,2","szt","2,8"
"319","Taœma mal.Strong 38mm x 50m ¿ó³ta","4,45","szt","2,18"
"320","Taœma malarska dolphin blue 55mb x 25mm","8,95","szt","5,97"
"321","Taœma malarska 30mm niebieska","9,75","szt","4,47"
"322","Atlas Gipsar 10 kg","15","szt","12,85"
"323","Siatka do gipsu 120","0,8","szt","0,42"
"324","Silikon bud/neutralny bia³y","14,2","szt","9,97"
"325","UD 27/3 Profil Przyœcienny","4,8","szt","2,4"
"326","Gips budowlany 2 kg","2,45","szt","1,52"
"327","MP75 Lekki 30 kg","17,07","szt","13,81"
"328","Tarcza do metalu p³aska 115x10","2,44","szt","1,43"
"329","Folia malarska EX gruba4x5","3,66","szt","1,98"
"330","Taœma mal. ¿ó³ta 30mm/50m","3,25","szt","1,74"
"331","Taœma mal.STRONG UV 38mm/50mm","10,16","szt","8,21"
"332","Teg. Szpachla mal.nier./80mm/STALCO","6,5","szt","4,72"
"333","Teg. Szpachla mal.nier./100mm/STALCO","8,13","szt","5,95"
"334","G³adz Szpachlowa FR extra 20 kg","26,02","szt","19,89"
"335","Grunt 5l","12,2","szt","5,01"
"336","Naro¿nik st. do Mokr. Tynk 234/2,5","1,79","szt","1,07"
"337","Siatka z w³ókna szklanego","1,63","m2","1,22"
"338","Styropian Fasada","117,89","m3","103,4"
"339","Naro¿nik Aluminiowy Perf . 25x25x2,5","1,63","szt.","0,84"
"340","Wiadro gospodarcze pl. 12l","4,07","szt","2,63"
"341","Paca ze stali nierdzewnej g³adka","7,32","szt","4,79"
"342","Mieszad³o 80mm do farb","8,13","szt","5,88"
"343","Miara sk³adana bia³o-¿ó³a 2m","8,13","szt","6,49"
"344","Wkrêt do gipsu 35x25 S","12,2","kg","7,26"
"345","Sznurek traserski 30 m","6,5","szt","5,2"
"346","Kreda traserska niebieska","3,66","szt","2,62"
"347","K¹townik stalowy/250mm/","4,88","szt","2,8"
"348","G¹bka œcierna 100","1,79","szt","1,13"
"349","Siatka do gipsu g.100","0,73","szt","0,42"
"350","ko³ek SMK 6x40 K","9,76","100 szt","4,35"
"351","Uniflot 5kg","21,95","szt","19,23"
"352","MP75 Lekki 30 kg","20,3","szt","13,81"
"353","Klej do glazury iterak. mrozo. 25 kg","17,8","szt","8,9"
"354","Œn Supermal emal.olej.kremowa 0,8l","15,85","szt","11,28"
"355","Folia malarska EX gruba4x5","5,3","szt","1,98"
"356","Grunt 5l","16,2","szt","5,01"
"357","Taœma mal.Strong 48mm x 50m ¿ó³ta","5,25","szt","2,8"
"358","O.W z siatk¹ zamyk.190/190  OW7","8,5","szt","6,41"
"359","Farba Jedynka wew. 10l","45,9","szt","32,64"
"360","P³yta GKB  12,5/2,6","4,1","m2","3,79"
"361","P³yta GKBI  12,5/2,6","6,8","m2","6,13"
"362","We³na mineralna 042 Schwenk 50 mata","3,5","m2","2,68"
"363","Wkrêt har 4,5x45","3,9","100 szt","2,67"
"364","We³na mineralna Schwenk 037 p³yta 50","3,8","m2","3,3"
"365","Siatka posadzkowa 1mx2m","5,28","szt","3,98"
"366","Pianka PE  0,10x50x5","12,2","Rolka","9,01"
"367","Collage ArpoFlex U 5l","33,33","szt","27,58"
"368","Folia Typ 200","0,65","m2","0,36"
"369","CW  50/3 M Profil œcienny Odwrotne Obci¹¿enie","5,8","szt","5,45"
"370","Atlas Klej uelastyczny 25 kg","20","szt","13,73"
"371","P³yta GKBI  12,5/2,6","7,05","m2","6,13"
"372","Wkrêt har 4,5x45","4,4","100 szt","2,67"
"373","Taœma mal.STRONG UV 38mm/50mm","11,5","szt","8,21"
"374","Folia malarska EX gruba4x5","5","szt","1,98"
"375","Ko³ek SMK 6x60 K","15","100 szt","5,89"
"376","Wieszak p³aski 60/175","110","100 szt","51,86"
"377","ko³ek SMK 6x40 K","12","100 szt","4,35"
"378","Uniflot 25 kg","105","szt","94,64"
"379","Wkrêt TEX 3,9x9,5 czarne ( 1000 szt )","2","100 szt","1,29"
"380","GHB Klej Gipsowy KMK A 20","14,6","szt","10,27"
"381","Rozpuszczalnik uniwersalny 0,5 l","3,65","szt","2,05"
"382","Tarcza diament. turbo 115 mm","9,3","szt","6,62"
"383","Tarcza diament.turbo Premium 115mm","15,4","szt","11"
"384","ZW zaprawa wyrównawcza 25 kg","16","szt","11,11"
"385","Naro¿nik aluminiowy z siatka 3,0 m x 14,3 cm","2,4","szt","1,6"
"386","Gips budowlany 2 kg","2","szt","1,53"
"387","O.W z siatka zamykan¹ 170/250 OW12","8","szt","5,86"
"388","Ko³ek SM-8x80","23","100 szt","11,05"
"389","Wiert³o SDS plus 8 x210","8","szt","4,76"
"390","Teg. Ostrza ³amane 18mm","2,45","kpl","0,93"
"391","Wiert³o SDS plus 6,0 x 160 do betonu","5,6","szt","3,49"
"392","Siatka z w³ szklanego 155 /50m rolka","125","szt","98,5"
"393","MP75 Lekki 30 kg","18","szt","13,81"
"394","Klej do siatki 25 kg","15","szt","10,8"
"395","Styropian Dach/pod³oga","140","m3","119,63"
"396","O³ówek murarski /176mm/","2,8","szt","1,76"
"397","Œn EM Chlor czarna 0,9L","23,5","szt","16,68"
"398","Wapno 25 kg","11,35","szt","9,84"
"399","Gips budowlany  15 kg","8,65","szt","6,6"
"400","Paca styropianowa","3,25","szt","1,89"
"401","Taœma mal.STRONG UV 48mm/50m","14,6","szt","10,2"
"402","Taœma malarska 30mm niebieska","9,5","szt","4,47"
"403","£ata murarska trap.200cm","56","szt","40,72"
"404","klej do siatki Platinum 25 kg","16,5","szt","13,5"
"405","Szpachla drewniana 25mm","2","szt","1,1"
"406","Teg. Szpachla malarska nierdz. 40 mmm","5","szt","3,7"
"407","W10/3m Odwrotne Obci¹¿enie","2,1","szt","1,08"
"408","CW  50/3 M Profil œcienny Odwrotne Obci¹¿enie","8","szt","5,6"
"409","UW  50/4 M  Profil Œcienny Odwrotne Obci¹¿enie","8,5","szt.","5,96"
"410","CD  60/2,6M  Profil g³ówny Odwrotne Obci¹¿enie","4,75","szt","3,36"
"411","P³yta GKBI  12,5/2,6","7,32","m2","6,13"
"412","GHB Klej Gipsowy KMK A 20","16,26","szt","10,27"
"413","Zaprawa murarska 25 kg","8,13","szt","4,79"
"414","Zaprawa posadzkowa 25 kg","9,76","szt","4,9"
"415","Styropian Dach/pod³oga","147,97","m3","119,63"
"416","Wkrêt do gipsu 35x35 C","12","kg","7,34"
"417","Pianka Pistoletowa niskoprê¿na 750 ml","15","szt","10,3"
"418","Pianka wê¿. Niskoprê¿na 750 ml","14","szt","10,62"
"419","Teg. Ostrze ³amane 18mm/PERFEKT","3","kpl","2,47"
"420","Wkrêt do gipsu 35x25 S","12","kg","7,25"
"421","G³adz Szpachlowa FR extra 20 kg","24","szt","19,89"
"422","Uniflot 25 kg","105","szt","94,56"
"423","Taœma z w³ókna szklanego T-90","8","szt","5,94"
"424","Taœma zw³ókna szk. fliselina 5cmx25m","3,5","szt","1,95"
"425","Siatka do gipsu g.150","0,7","szt","0,29"
"426","G¹bka œcierna 100","2","szt","1,13"
"427","Taœma mal. ¿ó³ta 30mm/50m","3","szt","1,74"
"428","Uniflot 5kg","21,2","szt","19,23"
"429","Beton kom. 8x24x59  suporex","3,5","szt","2,48"
"430","Pó³naro¿nik AL 23x13x0,40 d³2,5m","2,2","szt","0,97"
"431","Klej do glazury iterak. mrozo. 25 kg","13","szt","8,9"
"432","P³ótno gr.220 arkusz","1,6","szt","0,94"
"433","Wkrêt hart.6x160","50","100 szt","33,3"
"434","Siatka z w³ szklanego 155 /50m rolka","125","szt","98,5"
"435","Bravo Tynk Akrylowy Baranek 2,0 mm Bia³y","3,5","kg","2,37"
"436","Pigment BX","50","L","26"
"437","Pigment SX","200","L","149"
"438","Naro¿nik aluminiowy z siatka 3,0 m x 14,3 cm","1,8","szt","1,6"
"439","Farba Œnie¿ka Ultra 10 l","32","szt","27,5"
"440","Naro¿nik aluminiowy perf. 25x25x2,0 m","1,4","szt","0,65"
