unique_identifier,baseline_bottom,baseline_top,baselinepos_min,baselinepos_mid,baselinepos_max,l0,l1,l2,l3,l4,level,segment,lcm,aut_min_Y1,aut_min_Y2,aut_min_Y3,aut_mid_Y1,aut_mid_Y2,aut_mid_Y3,aut_max_Y1,aut_max_Y2,aut_max_Y3,aut_min_Y1_q,aut_min_Y2_q,aut_min_Y3_q,aut_mid_Y1_q,aut_mid_Y2_q,aut_mid_Y3_q,aut_max_Y1_q,aut_max_Y2_q,aut_max_Y3_q,lcm_or_aut,lcm_max,lcm_mid,lcm_min,lcm_min_Y1,lcm_min_Y2,lcm_min_Y3,lcm_mid_Y1,lcm_mid_Y2,lcm_mid_Y3,lcm_max_Y1,lcm_max_Y2,lcm_max_Y3,autorlcm_min_Y1,autorlcm_min_Y2,autorlcm_min_Y3,autorlcm_mid_Y1,autorlcm_mid_Y2,autorlcm_mid_Y3,autorlcm_max_Y1,autorlcm_max_Y2,autorlcm_max_Y3,pro_min_Y0,pro_min_Y1,pro_min_Y2,pro_min_Y3,pro_mid_Y0,pro_mid_Y1,pro_mid_Y2,pro_mid_Y3,pro_max_Y0,pro_max_Y1,pro_max_Y2,pro_max_Y3,out_considered_min,out_considered_mid,out_considered_max,out_yesno,out_year_min,out_year_mid,out_year_max,out_quarter_min,out_quarter_mid,out_quarter_max,hire_min_Y1,hire_mid_Y1,hire_max_Y1,hire_min_Y2,hire_mid_Y2,hire_max_Y2,hire_min_Y3,hire_mid_Y3,hire_max_Y3,exit_min_Y1,exit_mid_Y1,exit_max_Y1,exit_min_Y2,exit_mid_Y2,exit_max_Y2,exit_min_Y3,exit_mid_Y3,exit_max_Y3,driver_group,baseline_mid,dd_min_Y0,dd_min_Y1,dd_min_Y2,dd_min_Y3,dd_mid_Y0,dd_mid_Y1,dd_mid_Y2,dd_mid_Y3,dd_max_Y0,dd_max_Y1,dd_max_Y2,dd_max_Y3
185,3,3,0.25,0.6,0.99,Consumer,All,Planning & Performance,Financial Control & Operations,Revenue Assurance,4,Core,0.19,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.81,0.886,0.962,1,0.962,0.962,0.924,0.924,0.886,0.924,0.886,0.81,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,entrev,3,1,1.2,1.3,1.4,1,1.2,1.3,8.333333333,1,1.2,1.3,1.4
1556,14,15,0.25,0.6,0.99,Consumer,All,Planning & Performance,Partners Management,Purchase Order Management,NA,Core,0.68,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.32,0.592,0.864,1,0.864,0.864,0.728,0.728,0.592,0.728,0.592,0.32,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,whorev,14.5,1,1.066666667,1.1,6.666666667,1,1.066666667,1.1,1.133333333,1,1.066666667,1.1,1.133333333
186,1,1,0.25,0.6,0.99,Consumer,All,Planning & Performance,Performance & Program Management,N/A,3,NA,1,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,headcount,1,1,1.318391569,1.58704149,3.216166164,1,1.318391569,1.58704149,3.905861087,1,1.318391569,1.58704149,1.85569141
187,12,13,0.25,0.6,0.99,Consumer,All,Planning & Performance,Performance & Program Management,Performance & Fraud Management,4,Core,0.22,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.78,0.868,0.956,1,0.956,0.956,0.912,0.912,0.868,0.912,0.868,0.78,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,stcsub,12.5,1,2,3,4,1,2,3,4,1,2,3,4
188,10,10,0.25,0.6,0.99,Consumer,All,Planning & Performance,Performance & Program Management,Performance Analytics & Reporting,4,Core,0.2,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.8,0.88,0.96,1,0.96,0.96,0.92,0.92,0.88,0.92,0.88,0.8,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,conrev,10,1,1.1,1.15,1.2,1,1.1,1.15,1.2,1,1.1,1.15,1.2
189,5,5,0.25,0.6,0.99,Consumer,All,Planning & Performance,Performance & Program Management,Program Management,4,Support,0.19,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.81,0.886,0.962,1,0.962,0.962,0.924,0.924,0.886,0.924,0.886,0.81,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,whorev,5,1,1.066666667,1.1,6.666666667,1,1.066666667,1.1,1.133333333,1,1.066666667,1.1,1.133333333
190,13,14,0.25,0.6,0.99,Consumer,All,Planning & Performance,Quality Management,N/A,3,Core,0.15,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.85,0.91,0.97,1,0.97,0.97,0.94,0.94,0.91,0.94,0.91,0.85,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,stcsub,13.5,1,2,3,4,1,2,3,4,1,2,3,4
1506,9,9,0.25,0.6,0.99,Consumer,All,Planning & Performance,Quality Management,Consumer Quality Assurance Pool,NA,Core,0.19,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.81,0.886,0.962,1,0.962,0.962,0.924,0.924,0.886,0.924,0.886,0.81,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,headcount,9,1,1.318391569,1.58704149,3.216166164,1,1.318391569,1.58704149,3.905861087,1,1.318391569,1.58704149,1.85569141
1498,5,5,0.25,0.6,0.99,Consumer,All,Planning & Performance,Quality Management,Consumer Quality Control Pool,NA,Core,0.15,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.85,0.91,0.97,1,0.97,0.97,0.94,0.94,0.91,0.94,0.91,0.85,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,stcsub,5,1,2,3,4,1,2,3,4,1,2,3,4
191,1,1,0.25,0.6,0.99,Consumer,All,Planning & Performance,Sales Support,N/A,3,NA,1,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,entrev,1,1,1.2,1.3,1.4,1,1.2,1.3,8.333333333,1,1.2,1.3,1.4
192,7,7,0.25,0.6,0.99,Consumer,All,Planning & Performance,Sales Support,Held Order Management,4,Support,0.48,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.52,0.712,0.904,1,0.904,0.904,0.808,0.808,0.712,0.808,0.712,0.52,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,stcsub,7,1,2,3,4,1,2,3,4,1,2,3,4
193,11,12,0.25,0.6,0.99,Consumer,All,Planning & Performance,Sales Support,Sales Order Management,4,Core,0.5,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.5,0.7,0.9,1,0.9,0.9,0.8,0.8,0.7,0.8,0.7,0.5,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,stcsub,11.5,1,2,3,4,1,2,3,4,1,2,3,4
194,15,16,0.25,0.6,0.99,Consumer,All,Planning & Performance,Sales Support,SIMs / Scratch Cards Supply Chain,4,Core,0.53,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.47,0.682,0.894,1,0.894,0.894,0.788,0.788,0.682,0.788,0.682,0.47,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,whorev,15.5,1,1.066666667,1.1,6.666666667,1,1.066666667,1.1,1.133333333,1,1.066666667,1.1,1.133333333
195,1,1,0.25,0.6,0.99,Consumer,All,Planning & Performance,Strategic & Financial Planning,N/A,3,NA,1,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,conrev,1,1,1.1,1.15,1.2,1,1.1,1.15,1.2,1,1.1,1.15,1.2
196,9,9,0.25,0.6,0.99,Consumer,All,Planning & Performance,Strategic & Financial Planning,Financial Planning & Budgeting,4,Critical,0.19,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.81,0.886,0.962,1,0.962,0.962,0.924,0.924,0.886,0.924,0.886,0.81,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,headcount,9,1,1.318391569,1.58704149,3.216166164,1,1.318391569,1.58704149,3.905861087,1,1.318391569,1.58704149,1.85569141
197,4,4,0.25,0.6,0.99,Consumer,All,Planning & Performance,Strategic & Financial Planning,Strategic Planning & Risk Management,4,Critical,0.18,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.82,0.892,0.964,1,0.964,0.964,0.928,0.928,0.892,0.928,0.892,0.82,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,conrev,4,1,1.1,1.15,1.2,1,1.1,1.15,1.2,1,1.1,1.15,1.2
198,3,3,0.25,0.6,0.99,Consumer,Customer Care,N/A,N/A,N/A,1,NA,1,0.97,0.94,0.91,0.92,0.85,0.79,0.831128503,0.733155769,0.48,1,1,1,1,1,1,1,1,3,aut,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1,1,1.27,1.01,1.01,1.05,1.01,1.01,1.08,0.96,0.96,0.95,0.92,0.92,0.91,0.89,0.89,0.65,conrev,3,1,1.1,1.15,1.2,1,1.1,1.15,1.2,1,1.1,1.15,1.2
199,1,1,0.25,0.6,0.99,Consumer,Customer Care,All,Billing & Collections,N/A,3,NA,1,0.97,0.94,0.91,0.92,0.85,0.79,0.831128503,0.733155769,0.48,1,1,1,1,1,1,1,1,3,aut,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1,1,1.27,1.01,1.01,1.05,1.01,1.01,1.08,0.96,0.96,0.95,0.92,0.92,0.91,0.89,0.89,0.65,entrev,1,1,1.2,1.3,1.4,1,1.2,1.3,8.333333333,1,1.2,1.3,1.4
200,5,6,0.25,0.6,0.99,Consumer,Customer Care,All,Billing & Collections,Billing Complaints,4,Support,0.21,0.97,0.94,0.91,0.92,0.85,0.79,0.831128503,0.733155769,0.48,1,1,1,1,1,1,1,1,3,lcm,0.79,0.906170213,0.959787234,0.986595745,0.973191489,0.959787234,0.964255319,0.932978723,0.906170213,0.892765957,0.830212766,0.79,0.986595745,0.973191489,0.959787234,0.964255319,0.932978723,0.906170213,0.892765957,0.830212766,0.79,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1,1,1.27,1.01,1.01,1.05,1.01,1.01,1.08,0.96,0.96,0.95,0.92,0.92,0.91,0.89,0.89,0.65,whorev,5.5,1,1.066666667,1.1,6.666666667,1,1.066666667,1.1,1.133333333,1,1.066666667,1.1,1.133333333
201,24,30,0.25,0.6,0.99,Consumer,Customer Care,All,Billing & Collections,Billing Operations,4,Core,0.25,0.97,0.94,0.91,0.92,0.85,0.79,0.831128503,0.733155769,0.48,1,1,1,1,1,1,1,1,3,lcm,0.75,0.888297872,0.95212766,0.984042553,0.968085106,0.95212766,0.957446809,0.920212766,0.888297872,0.872340426,0.79787234,0.75,0.984042553,0.968085106,0.95212766,0.957446809,0.920212766,0.888297872,0.872340426,0.79787234,0.75,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1,1,1.27,1.01,1.01,1.05,1.01,1.01,1.08,0.96,0.96,0.95,0.92,0.92,0.91,0.89,0.89,0.65,entrev,27,1,1.2,1.3,1.4,1,1.2,1.3,8.333333333,1,1.2,1.3,1.4
